backbone,tsk_pretext,d_pretext,head_pred,ft_stategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.2860082304526749
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,0.01,accuracy,0.30118312757201643
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.5,accuracy,0.7915380658436213
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.5,accuracy,0.7901234567901234
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,0.5,accuracy,0.7632458847736623
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.7881944444444443
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.7930812757201644
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.585648148148148
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.6048096707818931
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.22813786008230452
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.22890946502057616
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,0.5,accuracy,0.7997685185185185
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.5,accuracy,0.7974537037037037
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.799511316872428
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.7926954732510287
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Waist,1.0,accuracy,0.7788065843621399
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.5985082304526749
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.650977366255144
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Waist,0.1,accuracy,0.6138117283950617
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.21386316872427982
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.22852366255144038
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Waist,0.01,accuracy,0.27970679012345684
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Waist,0.5,accuracy,0.8005401234567899
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.5,accuracy,0.7852366255144032
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Waist,0.5,accuracy,0.7665895061728395
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.800025720164609
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.7962962962962963
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.6549639917695473
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.6707818930041153
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.34953703703703703
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.347608024691358
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Waist,0.5,accuracy,0.7924382716049382
