backbone,tsk_pretext,d_pretext,head_pred,ft_strategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.20749942489072923
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.20715435932827242
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.20105820105820105
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,RW-Thigh,0.01,accuracy,0.20922475270301355
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7409707844490453
aLLM4TS,aLLM4TS,AE,hiaac,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7490223142397057
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7652403956751783
aLLM4TS,aLLM4TS,AE,hiaac,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7490223142397057
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7234874626178973
aLLM4TS,aLLM4TS,AE,hiaac,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7086496434322521
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7670807453416146
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7498274672187716
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7739820565907523
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.5550954681389464
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7315389924085577
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7193466758684149
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5748792270531401
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5587761674718196
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.5328962502875546
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.33563377041637915
